   deg     lin    dist
  0.000  0.0000  0.0000     0.0000
  5.000  0.0556  0.0556     0.0357
 10.000  0.1111  0.1111     0.0734
 15.000  0.1667  0.1667     0.1133
 20.000  0.2222  0.2222     0.1552
 25.000  0.2778  0.2778     0.1992
 30.000  0.3333  0.3333     0.2453
 35.000  0.3889  0.3889     0.2935
 40.000  0.4444  0.4444     0.3438
 45.000  0.5000  0.5000     0.3961
 50.000  0.5556  0.5556     0.4505
 55.000  0.6111  0.6111     0.5070
 60.000  0.6667  0.6667     0.5656
 65.000  0.7222  0.7222     0.6263
 70.000  0.7778  0.7778     0.6891
 75.000  0.8333  0.8333     0.7539
 80.000  0.8889  0.8889     0.8208
 85.000  0.9444  0.9444     0.8898
 90.000  1.0000  1.0000     0.9609

Scale1 = 1/1
